As Of,NAV,Daily NAV Change,Daily NAV Change %
14-Jan-22,10.94,-0.04,-0.39
13-Jan-22,10.98,0.03,0.25
12-Jan-22,10.95,0.02,0.19
11-Jan-22,10.93,0,-0.03
10-Jan-22,10.94,0,-0.04
07-Jan-22,10.94,-0.02,-0.18
06-Jan-22,10.96,-0.03,-0.27
05-Jan-22,10.99,-0.01,-0.08
04-Jan-22,11,-0.04,-0.37
30-Dec-21,11.04,0,0.02
29-Dec-21,11.04,-0.05,-0.41
23-Dec-21,11.08,-0.04,-0.35
22-Dec-21,11.12,-0.01,-0.07
21-Dec-21,11.13,-0.06,-0.57
20-Dec-21,11.2,-0.01,-0.1
17-Dec-21,11.21,0.02,0.16
16-Dec-21,11.19,-0.01,-0.12
15-Dec-21,11.2,-0.01,-0.11
14-Dec-21,11.21,-0.02,-0.14
13-Dec-21,11.23,0.03,0.27
10-Dec-21,11.2,0.01,0.06
09-Dec-21,11.19,0.03,0.24
08-Dec-21,11.16,-0.05,-0.43
07-Dec-21,11.21,0,-0.01
06-Dec-21,11.21,0.01,0.05
03-Dec-21,11.21,0.01,0.13
02-Dec-21,11.19,0.03,0.26
01-Dec-21,11.16,0,-0.03
30-Nov-21,11.17,0.04,0.32
29-Nov-21,11.13,-0.01,-0.13
26-Nov-21,11.15,0.09,0.8
24-Nov-21,11.06,-0.02,-0.15
23-Nov-21,11.07,-0.06,-0.53
22-Nov-21,11.13,-0.04,-0.37
19-Nov-21,11.17,0.04,0.4
18-Nov-21,11.13,0.03,0.28
17-Nov-21,11.1,0,-0.04
16-Nov-21,11.1,-0.01,-0.11
15-Nov-21,11.11,-0.02,-0.19
12-Nov-21,11.14,-0.01,-0.1
10-Nov-21,11.15,-0.06,-0.5
09-Nov-21,11.2,0.04,0.37
08-Nov-21,11.16,-0.02,-0.22
05-Nov-21,11.19,0.06,0.53
04-Nov-21,11.13,0.04,0.38
03-Nov-21,11.09,0,-0.02
02-Nov-21,11.09,0.05,0.47
01-Nov-21,11.04,0,-0.03
29-Oct-21,11.04,-0.04,-0.41
28-Oct-21,11.08,-0.02,-0.19
27-Oct-21,11.11,0.05,0.45
26-Oct-21,11.06,0.01,0.05
25-Oct-21,11.05,0.01,0.12
22-Oct-21,11.04,0.01,0.08
21-Oct-21,11.03,-0.02,-0.19
20-Oct-21,11.05,0,0.04
19-Oct-21,11.04,-0.03,-0.27
18-Oct-21,11.07,-0.01,-0.13
15-Oct-21,11.09,-0.01,-0.11
14-Oct-21,11.1,0.04,0.35
13-Oct-21,11.06,0.03,0.31
12-Oct-21,11.03,-0.03,-0.28
08-Oct-21,11.06,-0.03,-0.25
07-Oct-21,11.09,0,-0.03
06-Oct-21,11.09,-0.01,-0.05
05-Oct-21,11.09,-0.02,-0.22
04-Oct-21,11.12,-0.01,-0.08
01-Oct-21,11.13,0.02,0.19
30-Sep-21,11.11,-0.02,-0.15
29-Sep-21,11.12,0.01,0.11
28-Sep-21,11.11,-0.02,-0.22
27-Sep-21,11.13,-0.01,-0.08
24-Sep-21,11.14,-0.03,-0.25
23-Sep-21,11.17,-0.05,-0.48
22-Sep-21,11.23,0,0.03
21-Sep-21,11.22,0.01,0.08
20-Sep-21,11.21,0.02,0.21
17-Sep-21,11.19,-0.02,-0.19
16-Sep-21,11.21,-0.01,-0.11
15-Sep-21,11.22,-0.02,-0.16
14-Sep-21,11.24,0.01,0.12
13-Sep-21,11.23,0,-0.01
10-Sep-21,11.23,-0.02,-0.19
09-Sep-21,11.25,0.03,0.3
08-Sep-21,11.22,0.01,0.08
07-Sep-21,11.21,-0.03,-0.29
03-Sep-21,11.24,-0.02,-0.15
02-Sep-21,11.26,0.01,0.1
01-Sep-21,11.25,-0.01,-0.07
31-Aug-21,11.25,-0.02,-0.19
27-Aug-21,11.27,0,0.04
26-Aug-21,11.27,0,-0.03
25-Aug-21,11.27,-0.05,-0.42
24-Aug-21,11.32,-0.01,-0.06
23-Aug-21,11.33,-0.01,-0.09
20-Aug-21,11.34,0,0.04
19-Aug-21,11.33,0.01,0.09
18-Aug-21,11.32,0.01,0.05
17-Aug-21,11.32,0,-0.04
16-Aug-21,11.32,0.01,0.06
13-Aug-21,11.31,0.01,0.1
12-Aug-21,11.3,0,0.01
11-Aug-21,11.3,-0.01,-0.06
10-Aug-21,11.31,0,0.04
09-Aug-21,11.3,0,0
06-Aug-21,11.3,-0.04,-0.39
05-Aug-21,11.35,0.01,0.11
04-Aug-21,11.34,0,0
03-Aug-21,11.34,0.01,0.08
02-Aug-21,11.33,0.02,0.19
30-Jul-21,11.31,0.01,0.09
29-Jul-21,11.3,0,0.02
28-Jul-21,11.29,0,0.01
27-Jul-21,11.29,0.02,0.14
26-Jul-21,11.28,0,-0.02
23-Jul-21,11.28,0,-0.02
22-Jul-21,11.28,0.02,0.2
21-Jul-21,11.26,-0.03,-0.23
20-Jul-21,11.28,0.01,0.11
19-Jul-21,11.27,0.04,0.34
16-Jul-21,11.23,0.01,0.12
15-Jul-21,11.22,0.02,0.13
14-Jul-21,11.21,0.02,0.15
13-Jul-21,11.19,0,0
12-Jul-21,11.19,0.01,0.06
09-Jul-21,11.18,-0.03,-0.27
08-Jul-21,11.21,0.01,0.1
07-Jul-21,11.2,0.03,0.23
06-Jul-21,11.18,0.03,0.31
02-Jul-21,11.14,0.03,0.23
01-Jul-21,11.12,0,-0.02
30-Jun-21,11.12,0.03,0.23
29-Jun-21,11.09,0,-0.02
28-Jun-21,11.1,0.03,0.25
25-Jun-21,11.07,-0.03,-0.3
24-Jun-21,11.1,0.01,0.05
23-Jun-21,11.1,0,0.03
22-Jun-21,11.09,-0.01,-0.05
21-Jun-21,11.1,-0.02,-0.17
18-Jun-21,11.12,0.02,0.14
17-Jun-21,11.1,0,-0.04
16-Jun-21,11.11,0,-0.02
15-Jun-21,11.11,-0.01,-0.1
14-Jun-21,11.12,-0.02,-0.15
11-Jun-21,11.14,0.02,0.16
10-Jun-21,11.12,0,-0.02
09-Jun-21,11.12,0.03,0.24
08-Jun-21,11.09,0.02,0.18
07-Jun-21,11.07,-0.01,-0.07
04-Jun-21,11.08,0.02,0.21
03-Jun-21,11.06,-0.01,-0.12
02-Jun-21,11.07,0.01,0.13
01-Jun-21,11.06,0,-0.03
28-May-21,11.06,0.01,0.07
27-May-21,11.05,-0.02,-0.22
26-May-21,11.08,0.03,0.23
25-May-21,11.05,0.03,0.25
24-May-21,11.02,0.01,0.08
21-May-21,11.02,0.02,0.15
20-May-21,11,0.01,0.11
19-May-21,10.99,0,-0.04
18-May-21,10.99,0,-0.03
17-May-21,10.99,-0.01,-0.1
14-May-21,11.01,0.01,0.06
13-May-21,11,0,-0.03
12-May-21,11,-0.03,-0.28
11-May-21,11.03,-0.04,-0.36
10-May-21,11.07,-0.01,-0.06
07-May-21,11.08,-0.01,-0.07
06-May-21,11.09,0,0.01
05-May-21,11.09,-0.01,-0.07
04-May-21,11.09,0.03,0.26
30-Apr-21,11.07,0,0.02
29-Apr-21,11.06,-0.03,-0.27
28-Apr-21,11.09,-0.01,-0.08
27-Apr-21,11.1,-0.01,-0.08
26-Apr-21,11.11,0,-0.02
23-Apr-21,11.12,-0.01,-0.07
22-Apr-21,11.12,0,0.03
21-Apr-21,11.12,0.01,0.07
20-Apr-21,11.11,0.01,0.1
19-Apr-21,11.1,-0.01,-0.11
16-Apr-21,11.11,-0.02,-0.17
15-Apr-21,11.13,0.03,0.28
14-Apr-21,11.1,-0.02,-0.14
13-Apr-21,11.12,0,0.02
12-Apr-21,11.11,0,-0.04
09-Apr-21,11.12,-0.02,-0.2
08-Apr-21,11.14,0.01,0.13
07-Apr-21,11.13,0,0.01
06-Apr-21,11.13,0,0.02
01-Apr-21,11.12,0.03,0.28
31-Mar-21,11.09,0.01,0.12
30-Mar-21,11.08,-0.02,-0.19
29-Mar-21,11.1,-0.03,-0.24
26-Mar-21,11.13,-0.02,-0.18
25-Mar-21,11.15,0.01,0.12
24-Mar-21,11.14,0.01,0.13
23-Mar-21,11.12,0.02,0.2
22-Mar-21,11.1,0.01,0.12
19-Mar-21,11.09,0.02,0.15
18-Mar-21,11.07,-0.02,-0.22
17-Mar-21,11.09,-0.04,-0.32
16-Mar-21,11.13,0,0
15-Mar-21,11.13,0.02,0.21
12-Mar-21,11.1,-0.04,-0.35
11-Mar-21,11.14,0.01,0.11
10-Mar-21,11.13,0.01,0.07
09-Mar-21,11.12,0.02,0.17
08-Mar-21,11.11,-0.01,-0.13
05-Mar-21,11.12,-0.02,-0.17
04-Mar-21,11.14,-0.01,-0.06
03-Mar-21,11.14,-0.04,-0.35
02-Mar-21,11.18,0,0.03
01-Mar-21,11.18,0.05,0.42
26-Feb-21,11.13,0.04,0.32
25-Feb-21,11.1,-0.06,-0.52
24-Feb-21,11.16,-0.02,-0.2
23-Feb-21,11.18,-0.02,-0.16
22-Feb-21,11.2,0.01,0.11
19-Feb-21,11.18,-0.02,-0.22
18-Feb-21,11.21,-0.02,-0.18
17-Feb-21,11.23,0.01,0.05
16-Feb-21,11.22,-0.06,-0.51
12-Feb-21,11.28,-0.03,-0.27
11-Feb-21,11.31,0.01,0.07
10-Feb-21,11.3,0,-0.02
09-Feb-21,11.31,0,0.04
08-Feb-21,11.3,0,-0.03
05-Feb-21,11.3,-0.01,-0.07
04-Feb-21,11.31,-0.01,-0.06
03-Feb-21,11.32,-0.01,-0.12
02-Feb-21,11.33,-0.02,-0.17
01-Feb-21,11.35,0,0.02
29-Jan-21,11.35,-0.02,-0.2
28-Jan-21,11.37,-0.01,-0.07
27-Jan-21,11.38,0,0.04
26-Jan-21,11.38,-0.01,-0.12
25-Jan-21,11.39,0.03,0.28
22-Jan-21,11.36,0.01,0.12
21-Jan-21,11.34,-0.03,-0.27
20-Jan-21,11.37,0,0.01
19-Jan-21,11.37,-0.01,-0.07
15-Jan-21,11.38,-0.01,-0.05
14-Jan-21,11.39,0.01,0.07
13-Jan-21,11.38,0.04,0.39
12-Jan-21,11.33,-0.03,-0.24
11-Jan-21,11.36,-0.02,-0.18
08-Jan-21,11.38,0,0.02
07-Jan-21,11.38,-0.01,-0.06
06-Jan-21,11.39,-0.03,-0.25
05-Jan-21,11.41,-0.01,-0.1
04-Jan-21,11.43,0.02,0.16
30-Dec-20,11.41,0,-0.01
29-Dec-20,11.41,0.03,0.28
23-Dec-20,11.38,-0.03,-0.3
22-Dec-20,11.41,0.01,0.06
21-Dec-20,11.41,0,0.04
18-Dec-20,11.4,0,-0.03
17-Dec-20,11.4,0.01,0.05
16-Dec-20,11.4,-0.03,-0.22
15-Dec-20,11.42,-0.01,-0.07
14-Dec-20,11.43,-0.01,-0.1
11-Dec-20,11.44,0.03,0.23
10-Dec-20,11.42,0,0.03
09-Dec-20,11.41,-0.01,-0.07
08-Dec-20,11.42,0.02,0.17
07-Dec-20,11.4,0.03,0.26
04-Dec-20,11.37,-0.01,-0.1
03-Dec-20,11.38,0.02,0.21
02-Dec-20,11.36,0,-0.01
01-Dec-20,11.36,-0.04,-0.32
30-Nov-20,11.4,0,-0.04
27-Nov-20,11.4,0.01,0.11
25-Nov-20,11.39,0,0.03
24-Nov-20,11.39,0,-0.03
23-Nov-20,11.39,-0.01,-0.1
20-Nov-20,11.4,0.01,0.09
19-Nov-20,11.39,0.01,0.13
18-Nov-20,11.37,0,-0.01
17-Nov-20,11.37,0.02,0.16
16-Nov-20,11.36,0.01,0.07
13-Nov-20,11.35,0.01,0.08
12-Nov-20,11.34,0.04,0.39
10-Nov-20,11.29,-0.01,-0.09
09-Nov-20,11.31,-0.06,-0.56
06-Nov-20,11.37,-0.01,-0.13
05-Nov-20,11.38,0.01,0.06
04-Nov-20,11.38,0.04,0.31
03-Nov-20,11.34,0,-0.01
02-Nov-20,11.34,0,0.04
30-Oct-20,11.34,-0.01,-0.1
29-Oct-20,11.35,0,0.02
28-Oct-20,11.35,-0.01,-0.06
27-Oct-20,11.35,0.03,0.24
26-Oct-20,11.33,0.01,0.07
23-Oct-20,11.32,0.01,0.07
22-Oct-20,11.31,-0.03,-0.26
21-Oct-20,11.34,0,-0.04
20-Oct-20,11.34,-0.01,-0.13
19-Oct-20,11.36,-0.01,-0.05
16-Oct-20,11.36,0.01,0.06
15-Oct-20,11.36,0.02,0.15
14-Oct-20,11.34,0.01,0.1
13-Oct-20,11.33,0.03,0.24
09-Oct-20,11.3,0.01,0.1
08-Oct-20,11.29,0.02,0.18
07-Oct-20,11.27,-0.01,-0.1
06-Oct-20,11.28,0,0.04
05-Oct-20,11.28,-0.01,-0.08
02-Oct-20,11.29,0,-0.01
01-Oct-20,11.29,0.01,0.08
30-Sep-20,11.28,-0.02,-0.15
29-Sep-20,11.3,0.02,0.14
28-Sep-20,11.28,0,0
25-Sep-20,11.28,0.01,0.07
24-Sep-20,11.28,0,-0.01
23-Sep-20,11.28,-0.01,-0.07
22-Sep-20,11.29,-0.01,-0.13
21-Sep-20,11.3,0.02,0.19
18-Sep-20,11.28,-0.01,-0.07
17-Sep-20,11.29,0.02,0.14
16-Sep-20,11.27,0,0.03
15-Sep-20,11.27,0,0.01
14-Sep-20,11.27,0.01,0.06
11-Sep-20,11.26,0.04,0.32
10-Sep-20,11.22,-0.02,-0.14
09-Sep-20,11.24,-0.02,-0.21
08-Sep-20,11.26,0.02,0.13
04-Sep-20,11.25,-0.03,-0.26
03-Sep-20,11.28,0.02,0.16
02-Sep-20,11.26,0.05,0.45
01-Sep-20,11.21,0.02,0.14
28-Aug-20,11.19,0.01,0.05
27-Aug-20,11.19,-0.02,-0.19
26-Aug-20,11.21,-0.01,-0.08
25-Aug-20,11.22,-0.05,-0.44
24-Aug-20,11.27,0,-0.01
21-Aug-20,11.27,0,0.02
20-Aug-20,11.27,0.02,0.13
19-Aug-20,11.25,0.01,0.05
