Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
AMAG LEASING AG,Switzerland,,Corporate - Consumer Discretionary,Green,2,0.33bn,Aug-21,Sustainalytics,Aug-21
AMAGGI LUXEMBOURG INTERNATIONAL SARL,Luxembourg,,Corporate - Consumer Staples,Sustainability,2,0.75bn,Dec-20,Sustainalytics,Dec-20
AMEREN ILLINOIS CO,United States,,Corporate - Utilities,Green,2,0.70bn,,S&P,Jun-21
AMERIABANK,Armenia,,Financials - Banking,Green,3,0.06bn,Nov-20,Sustainalytics,Nov-20
"AMERICA MOVIL, S.A.B. DE C.V.",Mexico,,Corporate - Communications,Sustainability,2,0.80bn,,S&P,Nov-22
AMERICAN EXPRESS COMPANY,United States,,Financials - Consumer Finance,Sustainability,1,1.00bn,,Moody's,Apr-22
AMGEN INC.,United States,,Corporate - Health Care,Green,1,0.75bn,,S&P,Feb-22
AMIPEACE LTD,Virgin Islands,,Financials - Financial services,Green,1,0.60bn,,Moody's,Nov-21
AMPRION GMBH,Germany,,Corporate - Utilities,Green,2,1.80bn,Aug-22,Sustainalytics,Aug-22
ANA HOLDINGS INC,Japan,,Corporate - Consumer Discretionary,Green,1,0.09bn,Oct-18,Other,Oct-18
ANA HOLDINGS INC,Japan,,Corporate - Consumer Discretionary,Social,1,0.05bn,Sep-18,Japan Credit Rating Agency,Apr-19
ANA HOLDINGS INC,Japan,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.18bn,,Other,May-21
ANALOG DEVICES INC,United States,,Corporate - Technology,Green,1,0.40bn,Mar-20,Sustainalytics,Mar-20
ANALOG DEVICES INC,United States,,Corporate - Technology,Sustainability Linked Bonds,1,0.75bn,,DNV GL,Sep-21
ANCHOR HANOVER GROUP,United Kingdom,,Financials - Real estate,Sustainability,1,0.62bn,,DNV GL,May-21
ANDREW W MELLON FOUNDATION/THE,United States,,Financials - Consumer Finance,Social,1,0.30bn,,,
ANEMUS WIND HOLDING SA,Brazil,,Corporate - Utilities,Green,1,0.09bn,May-21,Other,May-21
ANGLIAN WATER OSPREY FINANCING PLC,United Kingdom,,Corporate - Utilities,Sustainability Linked Bonds,1,0.42bn,,DNV GL,May-21
ANGLIAN WATER SERVICES FINANCING PLC,United Kingdom,,Corporate - Utilities,Green,11,1.50bn,,DNV GL,Oct-20
ANGLO AMERICAN PLC,United Kingdom,,Corporate - Materials,Sustainability Linked Bonds,1,0.76bn,,ISS-Oekom,Sep-22
ANHUI PROVINCE ENERGY GROUP CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.10bn,,,
ANSHAN IRON AND STEEL GROUP CO LTD,China (mainland),,Corporate - Materials,Sustainability Linked Bonds,1,0.00bn,,Other,Jan-22
ANSTEEL GROUP MINING CO LTD,China (mainland),,Corporate - Materials,Green,1,0.03bn,,Other,Feb-22
AOC I DIE STADTENTWICKLER GMBH,Germany,,Financials - Real estate,Green,1,0.03bn,Oct-22,Other,Jan-22
AOZORA BANK LTD,Japan,,Financials - Banking,Green,3,0.49bn,Jan-21,Sustainalytics,Jan-21
APPLE INC.,United States,,Corporate - Technology,Green,3,3.22bn,Nov-19,Sustainalytics,Nov-19
AQUAFIN NV,Belgium,,Corporate - Industrials,Green,1,0.14bn,Mar-20,Sustainalytics,Mar-20
ARAB PETROLEUM INVESTMENTS CORP,Supranationals,,SSA - Supranationals,Green,2,0.75bn,,Vigeo Eiris,Sep-21
ARAKAWA CHEMICAL INDUSTRIES LTD,Japan,,Corporate - Materials,Sustainability Linked Bonds,1,0.00bn,,Japan Credit Rating Agency,Oct-21
ARBORG,Iceland,,SSA - Quasi-sovereigns,Green,1,0.01bn,Jun-21,Sustainalytics,Jun-21
ARCA CONTINENTAL BEBIDAS S DE RL DE CV,Mexico,,Corporate - Consumer Staples,Green,2,0.23bn,Apr-21,Sustainalytics,Apr-21
ARÇELIK  AS,Turkey,,Corporate - Consumer Discretionary,Green,1,0.43bn,May-21,Sustainalytics,May-21
ARCHER-DANIELS-MIDLAND CO,United States,,Corporate - Consumer Staples,Sustainability,1,0.75bn,,S&P,Feb-22
ARCOS DORADOS B.V.,Netherlands,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,2,0.35bn,Apr-22,Sustainalytics,Apr-22
ARDAGH METAL PACKAGING FINANCE PLC,Ireland,,Corporate - Materials,Green,10,3.39bn,,ISS-Oekom,Feb-21
ARENDALS FOSSEKOMPANI A/S,Norway,,Corporate - Utilities,Green,1,0.06bn,,Cicero,Feb-21
ARGENTA SPAARBANK N.V.,Belgium,,Financials - Banking,Green,2,1.18bn,Jan-22,Sustainalytics,Jan-22
ARGOSY PROPERTY LTD,New Zealand,,Financials - Real estate,Green,3,0.22bn,,,
ARION BANK HF,Iceland,,Financials - Banking,Green,4,0.74bn,,Cicero,Jul-21
ARISE AB,Sweden,,Corporate - Utilities,Green,1,0.05bn,,Cicero,Feb-22
ARKEMA SA,France,,Corporate - Materials,Green,1,0.35bn,Oct-20,Vigeo Eiris,Oct-20
ARLA FOODS AMBA,Denmark,,Corporate - Consumer Staples,Green,1,0.18bn,Feb-20,Sustainalytics,Feb-20
ARRIVAL SA,Luxembourg,,Corporate - Industrials,Green,1,0.32bn,,,
ARTHALAND CORP,Philippines,,Financials - Real estate,Green,1,0.06bn,,Vigeo Eiris,Nov-19
ARWIDSRO FASTIGHETS AB,Sweden,,Financials - Real estate,Green,3,0.14bn,Sep-20,Cicero,Aug-20
ASAHI GROUP HOLDINGS LTD,Japan,,Corporate - Consumer Staples,Green,2,0.28bn,Sep-20,Japan Credit Rating Agency,Feb-23
ASAHI HOLDINGS INC,Japan,,Corporate - Industrials,Green,1,0.05bn,Mar-20,Other,Mar-20
ASAHI KASEI CORP,Japan,,Corporate - Materials,Green,1,0.09bn,Mar-20,Sustainalytics,Mar-20
ASAHI PRINTING CO LTD,Japan,,Corporate - Materials,Green,1,0.03bn,,Japan Credit Rating Agency,Jan-22
ASCENDAS REAL ESTATE INVESTMENT TRUST,Singapore,,Financials - Real estate,Green,4,0.53bn,,EY,Aug-20
ASCOTT REIT MTN PTE LTD,Singapore,,Financials - Real estate,Sustainability Linked Bonds,2,0.26bn,,Vigeo Eiris,Feb-22
ASE TECHNOLOGY HOLDING CO LTD,Taiwan,,Corporate - Technology,Green,1,0.10bn,,Deloitte,Sep-19
ASIAN DEVELOPMENT BANK,Supranationals,,SSA - Supranationals,Green,29,8.01bn,,Cicero,Aug-21
ASICS CORP,Japan,,Corporate - Consumer Discretionary,Sustainability,1,0.18bn,Mar-19,Other,Mar-19
ASICS CORP,Japan,,Corporate - Consumer Discretionary,Sustainability Linked Bonds,1,0.00bn,,,
ASJA AMBIENTE ITALIA,Italy,,Corporate - Energy,Green,2,0.02bn,,Other,Nov-19
ASML HOLDING N.V.,Netherlands,,Corporate - Technology,Green,1,0.53bn,,ISS-Oekom,May-22
ASSICURAZIONI GENERALI S.P.A.,Italy,,Financials - Insurance,Green,4,2.58bn,Jun-21,Sustainalytics,Jun-21
