Issuer Name,Issuer location,,Issuer sector,Bond type,Bonds per type,Amount issued (USD bn.),Lastest External Review Form,"External  Reviewer
",Latest External Review Report
REYKJAVIK ENERGY,Iceland,,Corporate - Utilities,Green,1,0.19bn,Feb-19,Cicero,Feb-19
RICOH LEASING CO LTD,Japan,,Financials - Commercial Finance,Green,2,0.18bn,Jul-18,Japan Credit Rating Agency,Jul-18
RIKSHEM AB,Sweden,,Financials - Real estate,Green,19,0.89bn,,Cicero,Feb-22
RIO SMART LIGHTING SARL,Luxembourg,,Corporate - Utilities,Sustainability,2,0.34bn,,Moody's,Oct-21
RIO VERDE ENERGIA SA,Brazil,,Corporate - Utilities,Green,1,0.02bn,,Other,Feb-23
RIOCAN REAL ESTATE INVESTMENT TRUST,Canada,,Financials - Real estate,Green,3,1.01bn,Mar-20,Sustainalytics,Mar-20
RIVER GREEN FINANCE 2020 DAC,Ireland,,Financials - Specialty finance,Green,4,0.21bn,Nov-19,Sustainalytics,Nov-19
RIVIAN AUTOMOTIVE INC,United States,,Corporate - Consumer Discretionary,Green,1,1.50bn,,,
RIYAD BANK,Saudi Arabia,,Financials - Banking,Sustainability,1,0.75bn,,S&P,Feb-22
RIZAL COMMERCIAL BANKING CORP,Philippines,,Financials - Banking,Sustainability,1,0.30bn,May-19,Sustainalytics,May-19
RKPF OVERSEAS 2020 (A) LTD,Virgin Islands,,Financials - Real estate,Green,1,0.50bn,,,
ROMANDE ENERGIE HOLDING SA,Switzerland,,Corporate - Utilities,Green,1,0.10bn,,ISS-Oekom,Jun-22
RONGSHI INTERNATIONAL FINANCE LTD,Virgin Islands,,Financials - Financial services,Green,1,0.50bn,Apr-19,Sustainalytics,Apr-19
ROYAL BANK OF CANADA,Canada,,Financials - Banking,Green,4,0.79bn,Jun-20,Sustainalytics,Jun-20
ROYAL BANK OF CANADA (THE),Canada,,Financials - Banking,Green,2,0.56bn,Mar-19,Sustainalytics,Mar-19
"ROYAL BANK OF CANADA, LONDON",Canada,,Financials - Banking,Green,3,0.03bn,Jun-20,Sustainalytics,Jun-20
ROYAL SCHIPHOL GROUP NV,Netherlands,,Corporate - Industrials,Green,3,1.99bn,,Vigeo Eiris,Mar-20
ROYALTY PHARMA PLC,United States,,Corporate - Health Care,Social,1,0.60bn,,,
RTE RESEAU DE TRANSPORT D'ELECTRICITE SADIR,France,,Corporate - Utilities,Green,1,0.96bn,,Vigeo Eiris,Nov-21
RUMO LUXEMBOURG S.A.R.L.,Luxembourg,,Corporate - Industrials,Green,2,0.50bn,Mar-20,Sustainalytics,Mar-20
RUMO LUXEMBOURG S.A.R.L.,Luxembourg,,Corporate - Industrials,Sustainability Linked Bonds,2,0.50bn,,Sustainalytics,Sep-21
RUSSIAN RAILWAYS VIA RZD CAPITAL PLC,Ireland,,Corporate - Industrials,Green,2,0.82bn,May-19,Climate Bonds Initiative Certified,Feb-20
RUSSIAN RAILWAYS VIA RZD CAPITAL PLC,Ireland,,Corporate - Industrials,Social,1,0.34bn,Nov-20,Sustainalytics,Nov-20
RWE AKTIENGESELLSCHAFT,Germany,,Corporate - Utilities,Green,7,5.32bn,,Sustainalytics,May-20
S IMMO AG,Australia,,Financials - Real estate,Green,2,0.24bn,Jan-21,Sustainalytics,Jan-21
S&P GLOBAL INC,United States,,Corporate - Technology,Sustainability Linked Bonds,2,1.25bn,,ISS-Oekom,Feb-22
SACYR GREEN ENERGY MANAGEMENT FT,Spain,,Corporate - Industrials,Green,1,0.12bn,,,
SAGAX AB,Sweden,,Financials - Real estate,Green,2,0.08bn,,Cicero,Dec-19
SAITAMA PREFECTURE,Japan,,SSA - Quasi-sovereigns,Sustainability,1,0.11bn,,Japan Credit Rating Agency,Aug-22
SALESFORCE.COM INC,United States,,Corporate - Technology,Sustainability,1,1.00bn,Jun-21,Sustainalytics,Jun-21
SALMAR ASA,Norway,,Corporate - Consumer Staples,Green,1,0.42bn,,Cicero,Apr-21
SAMHALLSBYGGNADSBOLAGET I NORDEN AB,Sweden,,Financials - Real estate,Green,5,0.25bn,,Cicero,Jun-20
SAMHALLSBYGGNADSBOLAGET I NORDEN AB,Sweden,,Financials - Real estate,Social,4,0.77bn,,ISS-Oekom,Nov-20
SAMSUNG C&T CORP,Korea,,Corporate - Industrials,Sustainability,1,0.25bn,,Deloitte,Mar-22
SAMSUNG CARD CO LTD,Korea,,Financials - Consumer Finance,Sustainability,8,0.31bn,,Deloitte,Dec-20
SAMSUNG SECURITIES CO LTD,Korea,,Financials - Financial services,Green,1,0.09bn,,Other,Feb-21
SAMTY RESIDENTIAL INVESTMENT CORP,Japan,,Financials - Real estate,Green,1,0.01bn,,Japan Credit Rating Agency,Nov-22
SAN DIEGO GAS AND ELECTRIC,United States,,Corporate - Utilities,Green,1,0.75bn,,Vigeo Eiris,Aug-21
SAN MIGUEL INDUSTRIAS PET S.A.,Peru,,Corporate - Materials,Sustainability Linked Bonds,2,0.38bn,,ISS-Oekom,Jul-21
SANKEN ELECTRIC CO. LTD,Japan,,Corporate - Technology,Green,1,0.04bn,Feb-22,Other,Feb-22
SANMING INVESTMENT DEVELOPMENT GROUP CO LTD,China (mainland),,Corporate - Consumer Discretionary,Green,1,0.03bn,,,
SANOFI,France,,Corporate - Health Care,Sustainability Linked Bonds,1,0.72bn,,ISS-Oekom,Dec-21
SANTANDER BANK POLSKA SA,Poland,,Financials - Banking,Sustainability,2,0.62bn,Dec-21,Sustainalytics,Dec-21
SANTANDER CONSUMER BANK AS,Norway,,Financials - Banking,Green,5,0.36bn,Dec-19,Climate Bonds Initiative Certified,Dec-19
"SANTANDER HOLDINGS USA, INC.",United States,,Financials - Banking,Sustainability,1,0.50bn,Feb-22,Sustainalytics,Feb-22
SANTANDER INTERNATIONAL PRODUCTS PLC,Ireland,,Financials - Banking,Green,2,0.05bn,,Vigeo Eiris,May-20
SAO MARTINHO SA,Brazil,,Corporate - Energy,Green,2,0.21bn,,S&P,Dec-21
SARANA MULTI INFRASTRUKTUR PERSERO PT,Indonesia,,Financials - Commercial Finance,Green,1,0.02bn,Apr-18,Cicero,Apr-18
SATO OYJ,Finland,,Financials - Real estate,Green,1,0.42bn,Mar-20,Cicero,Mar-20
SAUDI ELECTRICITY GLOBAL SUKUK CO 5,Cayman Islands,,Corporate - Utilities,Green,2,1.30bn,,Vigeo Eiris,Jun-20
SAUDI ELECTRICITY SUKUK PROGRAMME CO,Saudi Arabia,,Corporate - Utilities,Green,1,1.20bn,,,
SBAB BANK AB,Sweden,,Financials - Banking,Green,9,3.16bn,,Cicero,Jan-19
SBB TREASURY OYJ,Finland,,Corporate - Consumer Discretionary,Social,4,3.03bn,,ISS-Oekom,Nov-20
SCANDINAVIAN BIOGAS FUELS INTERNATIONAL AB,Sweden,,Corporate - Utilities,Green,1,0.08bn,,,
SCANIA CV AB (PUBL),Sweden,,Corporate - Industrials,Green,6,0.44bn,,Cicero,Sep-20
SCATEC ASA,Norway,,Corporate - Utilities,Green,2,0.40bn,Feb-21,Cicero,Feb-21
SCE RECOVERY FUNDING LLC,United States,,Corporate - Utilities,Green,5,1.31bn,,Moody's,Apr-23
SCHNEIDER ELECTRIC SE,France,,Corporate - Industrials,Sustainability Linked Bonds,1,0.77bn,,Vigeo Eiris,Nov-20
SCOTTISH HYDRO ELECTRIC TRANSMISSION PLC,United Kingdom,,Corporate - Utilities,Green,3,1.13bn,,DNV GL,Mar-21
SCSK CORP,Japan,,Corporate - Technology,Green,1,0.05bn,Feb-21,Sustainalytics,Feb-21
SEAH STEEL CORP,Korea,,Corporate - Materials,Green,1,0.07bn,,Other,Feb-21
SEASPAN CORP,China (Hong Kong),,Corporate - Industrials,Green,2,0.75bn,Jun-21,Sustainalytics,Jun-21
SEASPAN CORP,China (Hong Kong),,Corporate - Industrials,Sustainability Linked Bonds,2,0.50bn,,Sustainalytics,Apr-21
SECHE ENVIRONNEMENT SA,France,,Corporate - Industrials,Sustainability Linked Bonds,1,0.35bn,,S&P,Oct-21
SEGI ASTANA SDN BHD,Malaysia,,Financials - Real estate,Green,5,0.07bn,Nov-17,Other,Nov-17
SEGRO CAPITAL SARL,Luxembourg,,Financials - Real estate,Green,3,1.85bn,,DNV GL,May-21
SEIBU HOLDINGS INC,Japan,,Corporate - Consumer Discretionary,Green,2,0.18bn,Jun-21,Japan Credit Rating Agency,Dec-19
SEIKO EPSON CORP,Japan,,Corporate - Technology,Green,3,0.65bn,Dec-19,Other,Jul-20
SEKISUI HOUSE REIT INC,Japan,,Financials - Real estate,Green,7,0.22bn,Nov-18,Sustainalytics,Nov-18
SELP FINANCE SARL,Luxembourg,,Financials - Real estate,Green,2,1.38bn,,DNV GL,May-21
SEMBCORP INDUSTRIES LTD,Singapore,,Financials - Financial services,Green,2,0.56bn,,EY,Apr-21
SEMBCORP INDUSTRIES LTD,Singapore,,Financials - Financial services,Sustainability Linked Bonds,2,0.72bn,,DNV GL,Aug-21
SENKO GROUP HOLDINGS CO LTD,Japan,,Corporate - Industrials,Green,1,0.09bn,Sep-20,Other,Sep-20
SEOULMETRO,Korea,,SSA - Quasi-sovereigns,Sustainability,1,0.00bn,,,
SERBIA (THE REPUBLIC OF),Serbia,,SSA - Sovereigns,Green,2,1.18bn,,ISS-Oekom,Sep-21
SEVERN TRENT UTILITIES FINANCE PLC,United Kingdom,,Corporate - Utilities,Sustainability,3,1.40bn,,DNV GL,Jul-22
SFIL SA,France,,SSA - Quasi-sovereigns,Green,2,1.15bn,Oct-19,Sustainalytics,Oct-19
SFL CORP LTD,Norway,,Corporate - Industrials,Sustainability Linked Bonds,2,0.30bn,,Other,Apr-21
SG ISSUER,Luxembourg,,Financials - Financial services,Sustainability,3,0.06bn,,ISS-Oekom,Nov-21
SGC ENERGY CO LTD,Korea,,Corporate - Utilities,Green,1,0.03bn,May-21,Moody's,May-21
SGSP AUSTRALIA ASSETS PTY LTD,Australia,,Corporate - Utilities,Green,2,0.32bn,Jul-21,Sustainalytics,Jul-21
SHAANXI COAL AND CHEMICAL INDUSTRY GROUP CO LTD,China (mainland),,Corporate - Energy,Sustainability Linked Bonds,1,0.16bn,,Other,Apr-22
SHAANXI YUSHEN ENERGY DEVELOPMENT & CONSTRUCTION GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.09bn,,,
SHANDONG DEVELOPMENT INVESTMENT HOLDING GROUP CO LTD,China (mainland),,Financials - Financial services,Green,1,0.07bn,,Other,Oct-22
SHANGHAI COMMERCIAL & SAVINGS BANK LTD/THE,Taiwan,,Financials - Banking,Green,1,0.03bn,,KPMG,Aug-22
SHANGHAI PUDONG DEVELOPMENT BANK CO LTD,China (mainland),,Financials - Banking,Green,1,4.34bn,Sep-19,Sustainalytics,Dec-19
SHANGHAI PUDONG DEVELOPMENT BANK CO LTD/LONDON,China (mainland),,Financials - Banking,Green,1,0.40bn,Sep-19,Sustainalytics,Dec-19
SHANGRAO INVESTMENT HOLDINGS INTERNATIONAL CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.12bn,,S&P,Nov-22
SHANGYU DISTRICT SHAOXING MUNICIPAL WATER GROUP CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.03bn,,,
SHANHAI HONG KONG INTERNATIONAL INVESTMENTS LTD,China (Hong Kong),,Corporate - Industrials,Green,2,0.31bn,,S&P,Jun-22
SHANXI CONSTRUCTION INVESTMENT GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.07bn,,,
SHAOXING SHANGYU STATE-OWNED CAPITAL INVESTMENT OPERATION CO LTD,China (mainland),,Corporate - Industrials,Sustainability,1,0.30bn,,S&P,Sep-22
SHENERGY CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.14bn,,Other,Mar-22
SHENYANG METRO CO LTD,China (mainland),,Corporate - Consumer Discretionary,Green,1,0.15bn,,Other,Mar-21
SHENZHEN ENERGY GROUP CO LTD,China (mainland),,Corporate - Utilities,Green,1,0.46bn,,,
SHENZHEN METRO GROUP CO LTD,China (mainland),,Corporate - Consumer Discretionary,Green,1,0.00bn,,,
SHIKOKU ELECTRIC POWER COMPANY INCORPORATION,Japan,,Corporate - Utilities,Green,1,0.07bn,Sep-22,DNV GL,Sep-22
SHIMAO GROUP HOLDINGS LTD,China (Hong Kong),,Financials - Real estate,Green,1,0.75bn,Jan-21,Sustainalytics,Jan-21
SHIMIZU CORP,Japan,,Corporate - Industrials,Green,1,0.09bn,,Other,Dec-19
SHIMIZU CORP,Japan,,Corporate - Industrials,Sustainability,2,0.24bn,Jan-23,Other,Jan-23
SHINHAN BANK CO LTD,Korea,,Financials - Banking,Green,6,1.48bn,Mar-22,Sustainalytics,Mar-22
SHINHAN BANK CO LTD,Korea,,Financials - Banking,Social,8,1.26bn,Mar-22,Sustainalytics,Mar-22
SHINHAN BANK CO LTD,Korea,,Financials - Banking,Sustainability,4,0.90bn,Dec-18,Sustainalytics,Dec-18
SHINHAN CAPITAL CO LTD,Korea,,Financials - Commercial Finance,Sustainability,21,1.01bn,,Deloitte,Oct-20
SHINHAN CARD CO LTD,Korea,,Financials - Consumer Finance,Green,4,0.24bn,Jun-19,Deloitte,May-20
SHINHAN CARD CO LTD,Korea,,Financials - Consumer Finance,Social,8,1.26bn,Jun-19,EY,Aug-19
SHINHAN FINANCIAL GROUP CO LTD,Korea,,Financials - Banking,Social,2,0.50bn,Jun-19,Sustainalytics,Jun-19
SHINHAN FINANCIAL GROUP CO LTD,Korea,,Financials - Banking,Sustainability,4,1.00bn,Jun-19,Deloitte,Mar-21
SHINHAN INVESTMENT CORP,Korea,,Financials - Financial services,Sustainability,1,0.09bn,,Deloitte,Mar-21
SHINSEGAE INC,Korea,,Corporate - Consumer Discretionary,Green,1,0.05bn,,Other,Oct-21
SHINSEI BANK LIMITED,Japan,,Financials - Banking,Sustainability,1,0.09bn,,Japan Credit Rating Agency,Feb-21
SHINSUN HOLDINGS GROUP CO LTD,China (Hong Kong),,Financials - Real estate,Sustainability,1,0.20bn,Apr-21,Other,May-21
SHIZUOKA PREFECTURE,Japan,,SSA - Quasi-sovereigns,Green,1,0.00bn,Aug-22,Other,Aug-22
SHOKO CHUKIN BANK LTD/THE,Japan,,Financials - Banking,Sustainability,1,0.07bn,,Japan Credit Rating Agency,Feb-23
SHRIRAM TRANSPORT FINANCE CO LTD,India,,Financials - Commercial Finance,Social,6,1.70bn,Jan-20,Sustainalytics,Jan-20
SHUI ON DEVELOPMENT HOLDING LTD,Cayman Islands,,Financials - Real estate,Green,1,0.50bn,Oct-19,Sustainalytics,Oct-19
SHUI ON DEVELOPMENT HOLDING LTD,Cayman Islands,,Financials - Real estate,Sustainability Linked Bonds,1,0.40bn,Jun-21,Sustainalytics,Jun-21
SHUIFA GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,2,0.18bn,,Other,Jan-22
SHUIFA INTERNATIONAL HOLDINGS BVI CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.20bn,,,
SIBS AB,Sweden,,Financials - Real estate,Green,1,0.07bn,,Cicero,Sep-20
SICHUAN PROVINCE AIRPORT GROUP CO LTD,China (mainland),,Corporate - Industrials,Green,1,0.08bn,,Other,Feb-21
"SID - SLOVENSKA IZVOZNA IN RAZVOJNA BANKA, D.D., LJUBLJANA",Slovenia,,SSA - Quasi-sovereigns,Green,1,0.09bn,Nov-18,Sustainalytics,Nov-18
SIEMENS ENERGY FINANCE B.V.,Netherlands,,Corporate - Industrials,Green,2,1.63bn,Jan-23,Sustainalytics,Jan-23
SIGNA DEVELOPMENT FINANCE S.C.S.,Luxembourg,,Financials - Real estate,Green,2,0.35bn,Apr-21,Sustainalytics,Apr-21
SILK BIDCO AS,Norway,,Corporate - Consumer Discretionary,Green,1,0.06bn,,,
SIMPAR EUROPE SA,Brazil,,Corporate - Industrials,Sustainability Linked Bonds,2,0.63bn,,ISS-Oekom,Jan-21
SIMPAR FINANCE S.A.R.L,Brazil,,Financials - Financial services,Sustainability Linked Bonds,2,0.08bn,,ISS-Oekom,Jan-21
SINAR KAMIRI SDN BHD,Malaysia,,Corporate - Utilities,Green,13,0.05bn,Nov-17,Other,Nov-17
SINBO SECURITIZATION SPECIALTY CO LTD,Korea,,Financials - Financial services,Social,84,6.51bn,Nov-22,Moody's,Mar-23
SINDICATUM RENEWABLE ENERGY CO PTE LTD,Singapore,,Corporate - Energy,Green,2,0.04bn,Nov-17,Sustainalytics,Nov-17
SINGAPORE GOVERNMENT BOND,Singapore,,SSA - Sovereigns,Green,1,1.74bn,May-22,Sustainalytics,May-22
SINGTEL GROUP TREASURY PTE LTD,Singapore,,Corporate - Communications,Sustainability Linked Bonds,1,0.10bn,Oct-21,Sustainalytics,Oct-21
SINO-OCEAN LAND TREASURE IV LTD,Virgin Islands,,Financials - Real estate,Green,3,1.12bn,Feb-21,Sustainalytics,Feb-21
SION SA,Argentina,,Corporate - Communications,Social,1,0.00bn,,,
SK BATTERY AMERICA INC,United States,,Corporate - Energy,Green,2,1.00bn,,Cicero,Jul-19
SK BROADBAND CO LTD,Korea,,Corporate - Communications,Green,1,0.04bn,Jan-22,Moody's,Jan-22
SK D&D CO LTD,Korea,,Financials - Real estate,Green,1,0.02bn,Jul-22,Moody's,Jul-22
SK ENERGY CO LTD,Korea,,Corporate - Energy,Green,3,0.32bn,,KPMG,Sep-19
SK ENGINEERING & CONSTRUCTION CO LTD,Korea,,Corporate - Industrials,Green,2,0.35bn,,Other,Feb-22
SK ENGINEERING & CONSTRUCTION CO LTD,Korea,,Corporate - Industrials,Sustainability,1,0.17bn,,Other,Jul-21
SK GLOBAL CHEMICAL CO LTD,Korea,,Corporate - Materials,Green,2,0.12bn,,Deloitte,Apr-21
SK HOLDINGS CO LTD,Korea,,Corporate - Energy,Green,4,0.29bn,,Deloitte,Feb-21
SK HYNIX INC.,Korea,,Corporate - Technology,Green,4,1.75bn,,Vigeo Eiris,Jan-21
SK HYNIX INC.,Korea,,Corporate - Technology,Social,2,0.39bn,Mar-21,Moody's,Mar-21
SK HYNIX INC.,Korea,,Corporate - Technology,Sustainability Linked Bonds,2,1.00bn,Dec-22,Moody's,Jan-23
SK RENT A CAR CO LTD,Korea,,Corporate - Consumer Discretionary,Green,1,0.09bn,,Moody's,Jan-21
SK SILTRON CO LTD,Korea,,Corporate - Technology,Green,1,0.03bn,Jan-22,Moody's,Jan-22
SKANDINAVISKA ENSKILDA BANKEN,Sweden,,Financials - Banking,Green,2,2.12bn,,Cicero,Jan-22
SKUE SPAREBANK,Norway,,Financials - Banking,Green,1,0.03bn,,Cicero,Aug-22
SKYGREEN BUILDINGS KFT,Hungary,,Financials - Real estate,Green,1,0.11bn,Nov-20,Sustainalytics,Nov-20
SLOVENIA (REPUBLIC OF) - MINISTRY OF FINANCE,Slovenia,,SSA - Sovereigns,Sustainability,2,2.57bn,Jan-23,Sustainalytics,Jan-23
SLOVENSKA SPORITEL'NA A.S.,Slovakia,,Financials - Banking,Green,4,0.75bn,,ISS-Oekom,May-21
SMAAKRAFT AS,Norway,,Corporate - Utilities,Green,2,0.12bn,,Cicero,Aug-18
SMURFIT KAPPA TREASURY ULC,Iran,,Corporate - Materials,Green,2,1.18bn,,ISS-Oekom,Sep-21
SNAM SPA,Italy,,Corporate - Utilities,Green,2,0.88bn,,ISS-Oekom,Nov-21
SNAM SPA,Italy,,Corporate - Utilities,Sustainability Linked Bonds,2,1.71bn,,ISS-Oekom,Nov-21
SNB FUNDING LTD,Cayman Islands,,Financials - Financial services,Green,1,0.06bn,,S&P,Dec-21
SNB FUNDING LTD,Cayman Islands,,Financials - Financial services,Social,3,0.04bn,,S&P,Dec-21
SNB FUNDING LTD,Cayman Islands,,Financials - Financial services,Sustainability,1,0.03bn,,S&P,Dec-21
SNB SUKUK LTD,Cayman Islands,,Financials - Banking,Sustainability,1,0.75bn,,S&P,Dec-21
SNCF RESEAU,France,,Corporate - Industrials,Green,6,6.41bn,,ISS-Oekom,Jul-19
SOCIEDAD DE TRANSMISION AUSTRAL SA,Chile,,Corporate - Utilities,Green,2,0.39bn,,,
SOCIEDAD QUIMICA Y MINERA DE CHILE S.A.,Chile,,Corporate - Materials,Green,2,0.70bn,,ISS-Oekom,Sep-21
SOCIEDADE BIOELÉTRICA DO MONDEGO,Portugal,,Corporate - Industrials,Green,1,0.06bn,Feb-19,Sustainalytics,Feb-19
SOCIETE DU GRAND PARIS EPIC,France,,SSA - Agencies,Green,20,29.95bn,Mar-21,Sustainalytics,Mar-21
SOCIETE FONCIERE LYONNAISE,France,,Financials - Real estate,Green,3,1.94bn,,Vigeo Eiris,Dec-21
SOCIETE GENERALE,France,,Financials - Banking,Green,3,2.32bn,,ISS-Oekom,Nov-21
SOCIETE GENERALE,France,,Financials - Banking,Social,3,1.71bn,,ISS-Oekom,Nov-21
SOCIETE GENERALE,France,,Financials - Banking,Sustainability,6,0.33bn,,ISS-Oekom,Nov-21
SOCIETE GENERALE LUXEMBOURG,Luxembourg,,Financials - Financial services,Sustainability,1,0.11bn,,ISS-Oekom,Jul-20
SOCIETE GENERALE SA/TAIPEI,France,,Financials - Banking,Green,9,0.24bn,,,
SOCIETE GENERALE SFH SA,France,,Financials - Consumer Finance,Green,3,3.91bn,,ISS-Oekom,Nov-21
SOCIETE NATIONALE SNCF,France,,SSA - Agencies,Green,11,4.33bn,,ISS-Oekom,Feb-20
SOCIETE WALLONNE DES EAUX SCRL,Belgium,,Corporate - Utilities,Green,1,0.01bn,,Vigeo Eiris,Jun-19
SOFTBANK CORPORATION,Japan,,Corporate - Communications,Sustainability,2,0.26bn,,Japan Credit Rating Agency,Nov-21
SOGN OG FJORDANE ENERGI AS,Norway,,Corporate - Utilities,Green,6,0.20bn,May-18,Cicero,May-21
S-OIL CORPORATION,Korea,,Corporate - Energy,Green,1,0.05bn,,Other,Feb-22
SOLAR APPLIED MATERIALS TECHNOLOGY CORP,Taiwan,,Corporate - Materials,Green,2,0.03bn,,PwC,Jul-22
SOLAR UNITED NETWORK PTE LTD,Singapore,,Corporate - Utilities,Green,1,0.07bn,,Moody's,Jul-22
SOLARIS MIDSTREAM HOLDINGS LLC,United States,,Corporate - Energy,Sustainability Linked Bonds,2,0.40bn,,ISS-Oekom,Mar-21
SOLARPACK SURIA SUNGAI PETANI SDN BHD,Malaysia,,Corporate - Energy,Green,38,0.06bn,Feb-23,Other,Feb-23
SOLFACIL SECURITIZADORA DE CREDITOS FINANCE,Brazil,,Financials - Financial services,Green,1,0.00bn,Aug-21,Other,Aug-21
SOLIS,Italy,,Corporate - Energy,Green,1,0.01bn,,Other,Jun-18
SOLIS BOND CO DAC,Ireland,,Corporate - Utilities,Green,1,0.28bn,,Cicero,Sep-20
SOLO SOLE,Italy,,Corporate - Energy,Green,1,0.01bn,,Other,Mar-19
SOMPO HOLDINGS INC,Japan,,Financials - Insurance,Social,1,0.52bn,,Japan Credit Rating Agency,Mar-23
SONAE SIERRA,Portugal,,Financials - Real estate,Sustainability Linked Bonds,1,0.06bn,,KPMG,Jan-22
SONOCO PRODUCTS CO,United States,,Corporate - Materials,Green,3,1.20bn,,ISS-Oekom,Jan-22
"SONY BANK, INC",Japan,,Financials - Banking,Green,1,0.08bn,Apr-22,Other,Apr-22
SOSILA LOGISTICS REIT INC,Japan,,Financials - Real estate,Green,1,0.01bn,,Japan Credit Rating Agency,Nov-19
SOTETSU HOLDINGS INC,Japan,,Corporate - Consumer Discretionary,Green,1,0.11bn,May-22,Other,May-22
SOUTH CENTRAL CONNECTICUT REGIONAL WATER AUTHORITY,United States,,Corporate - Utilities,Green,2,0.01bn,Jun-19,Sustainalytics,Jun-19
SOUTH COAST BRITISH COLUMBIA TRANSPORTATION AUTHORITY,Canada,,SSA - Quasi-sovereigns,Green,3,0.67bn,Oct-18,KPMG,Nov-19
SOUTH EASTERN POWER NETWORKS PLC,United Kingdom,,Corporate - Utilities,Green,1,0.41bn,,DNV GL,Jul-21
SOUTHERN CALIFORNIA EDISON CO,United States,,Corporate - Utilities,Sustainability,4,2.10bn,,Vigeo Eiris,Jun-21
SOUTHERN CALIFORNIA GAS COMPANY,United States,,Corporate - Utilities,Green,1,0.60bn,,Vigeo Eiris,Aug-21
SOUTHERN HOUSING GROUP LTD,United Kingdom,,Financials - Real estate,Sustainability,1,0.41bn,,S&P,Sep-21
SOUTHERN POWER CO,United States,,Corporate - Utilities,Green,3,1.46bn,Dec-20,Sustainalytics,Dec-20
SOUTHERN WATER SERVICES FINANCE LTD,Cayman Islands,,Corporate - Utilities,Sustainability,3,1.43bn,Mar-21,DNV GL,May-20
SOUTHWESTERN ELECTRIC POWER CO,United States,,Corporate - Utilities,Green,1,0.65bn,Jul-21,Sustainalytics,Jul-21
SOUTHWESTERN PUBLIC SERVICE CO,United States,,Corporate - Utilities,Green,3,1.10bn,,S&P,Nov-21
SOWITEC GROUP GMBH,Germany,,Corporate - Energy,Green,1,0.01bn,,Other,Feb-23
SPAIN (THE KINGDOM OF),Spain,,SSA - Sovereigns,Green,1,8.59bn,,Vigeo Eiris,Jul-21
SPARBANKEN SKANE AB,Sweden,,Financials - Banking,Green,3,0.25bn,Sep-19,Cicero,Sep-22
SPARBANKEN VASTRA MALARDALEN,Sweden,,Financials - Banking,Green,1,0.03bn,Jan-22,Cicero,Oct-21
SPAREBANK 1 BOLIGKREDITT AS,Norway,,Financials - Banking,Green,3,3.30bn,Sep-19,Sustainalytics,Sep-19
SPAREBANK 1 HALLINGDAL VALDRES,Norway,,Financials - Consumer Finance,Green,1,0.03bn,,Cicero,Aug-20
SPAREBANK 1 HELGELAND,Norway,,Financials - Banking,Green,2,0.11bn,Jul-21,Sustainalytics,Jul-21
SPAREBANK 1 NORDMOERE,Norway,,Financials - Banking,Green,1,0.05bn,,Cicero,Nov-21
SPAREBANK 1 NORD-NORGE,Norway,,Financials - Banking,Green,5,0.51bn,,ISS-Oekom,Aug-21
SPAREBANK 1 OSTFOLD AKERSHUS,Norway,,Financials - Banking,Green,1,0.03bn,,Cicero,May-22
SPAREBANK 1 ØSTLANDET,Norway,,Financials - Banking,Green,4,1.34bn,,Cicero,Feb-21
SPAREBANK 1 RINGERIKE HADELAND,Norway,,Financials - Banking,Green,1,0.02bn,,Cicero,Jan-21
SPAREBANK 1 SMN,Norway,,Financials - Banking,Green,9,2.36bn,Aug-20,Sustainalytics,Aug-20
SPAREBANK 1 SOROST-NORGE,Norway,,Financials - Banking,Green,4,0.17bn,,Cicero,Dec-21
SPAREBANK 1 SR-BANK ASA,Norway,,Financials - Banking,Green,4,2.76bn,Aug-19,Sustainalytics,Aug-19
SPAREBANKEN MORE,Finland,,Financials - Banking,Green,1,0.11bn,Dec-20,Sustainalytics,Dec-20
SPAREBANKEN OEST BOLIGKREDITT AS,Norway,,Financials - Banking,Green,1,0.20bn,,Cicero,Jan-23
SPAREBANKEN SOER BOLIGKREDITT AS,Norway,,Financials - Banking,Green,2,1.04bn,Aug-19,Climate Bonds Initiative Certified,Sep-19
SPAREBANKEN SOGN OG FJORDANE,Norway,,Financials - Banking,Green,1,0.02bn,Dec-19,Cicero,Aug-19
SPAREBANKEN SOR,Norway,,Financials - Banking,Green,2,0.22bn,,Sustainalytics,Feb-22
SPAREBANKEN VEST,Norway,,Financials - Banking,Green,5,0.55bn,Jul-19,Sustainalytics,Jul-19
SPAREBANKEN VEST BOLIGKREDITT AS,Norway,,Financials - Consumer Finance,Green,3,2.05bn,Jun-19,Climate Bonds Initiative Certified,Jun-20
SPARK FINANCE LIMITED,New Zealand,,Corporate - Communications,Sustainability Linked Bonds,1,0.07bn,,DNV GL,Mar-22
SPARKASSE HANNOVER,Germany,,Financials - Banking,Green,1,0.06bn,Oct-22,Other,Jun-21
