symbol,date,price,yield_to_maturity,yield_to_worst,nav
SP_GB_INDEX,2021-04-15,154.09,1.0,0.9,
SP_GB_INDEX,2021-04-16,154.02,1.02,0.91,
SP_GB_INDEX,2021-04-19,154.28,1.04,0.93,
SP_GB_INDEX,2021-04-20,154.57,1.03,0.92,
SP_GB_INDEX,2021-04-21,154.54,1.03,0.92,
SP_GB_INDEX,2021-04-22,154.56,1.02,0.91,
SP_GB_INDEX,2021-04-23,154.63,1.02,0.91,
SP_GB_INDEX,2021-04-26,154.98,1.02,0.91,
SP_GB_INDEX,2021-04-27,154.87,1.02,0.91,
SP_GB_INDEX,2021-04-28,154.83,1.03,0.92,
SP_GB_INDEX,2021-04-29,154.75,1.03,0.93,
SP_GB_INDEX,2021-04-30,154.12,1.02,0.93,
SP_GB_INDEX,2021-05-03,154.56,1.06,0.97,
SP_GB_INDEX,2021-05-04,154.37,1.05,0.95,
SP_GB_INDEX,2021-05-05,154.13,1.06,0.96,
SP_GB_INDEX,2021-05-06,154.57,1.05,0.96,
SP_GB_INDEX,2021-05-07,155.3,1.05,0.96,
SP_GB_INDEX,2021-05-10,155.48,1.06,0.96,
SP_GB_INDEX,2021-05-11,155.06,1.08,0.99,
SP_GB_INDEX,2021-05-12,153.98,1.11,1.02,
SP_GB_INDEX,2021-05-13,153.84,1.12,1.02,
SP_GB_INDEX,2021-05-14,154.49,1.11,1.01,
SP_GB_INDEX,2021-05-17,154.49,1.11,1.01,
SP_GB_INDEX,2021-05-18,155.08,1.11,1.02,
SP_GB_INDEX,2021-05-19,154.89,1.11,1.02,
SP_GB_INDEX,2021-05-20,155.03,1.11,1.02,
SP_GB_INDEX,2021-05-21,155.02,1.1,1.0,
SP_GB_INDEX,2021-05-24,155.35,1.09,0.99,
SP_GB_INDEX,2021-05-25,155.9,1.07,0.97,
SP_GB_INDEX,2021-05-26,155.96,1.05,0.95,
SP_GB_INDEX,2021-05-27,155.69,1.07,0.97,
SP_GB_INDEX,2021-05-28,155.57,1.06,0.96,
SP_GB_INDEX,2021-05-31,155.96,1.06,0.96,
SP_GB_INDEX,2021-06-01,156.11,1.08,0.98,
SP_GB_INDEX,2021-06-02,155.96,1.07,0.97,
SP_GB_INDEX,2021-06-03,155.21,1.08,0.99,
SP_GB_INDEX,2021-06-04,155.71,1.07,0.97,
SP_GB_INDEX,2021-06-07,155.88,1.07,0.97,
SP_GB_INDEX,2021-06-08,156.13,1.05,0.95,
SP_GB_INDEX,2021-06-09,156.42,1.03,0.93,
SP_GB_INDEX,2021-06-10,156.35,1.03,0.92,
SP_GB_INDEX,2021-06-11,156.01,1.02,0.91,
SP_GB_INDEX,2021-06-14,155.94,1.03,0.93,
SP_GB_INDEX,2021-06-15,155.77,1.04,0.94,
SP_GB_INDEX,2021-06-16,155.67,1.04,0.94,
SP_GB_INDEX,2021-06-17,154.0,1.06,0.95,
SP_GB_INDEX,2021-06-18,153.33,1.06,0.95,
SP_GB_INDEX,2021-06-21,153.64,1.07,0.97,
SP_GB_INDEX,2021-06-22,153.51,1.07,0.97,
SP_GB_INDEX,2021-06-23,154.01,1.07,0.97,
SP_GB_INDEX,2021-06-24,153.9,1.06,0.96,
SP_GB_INDEX,2021-06-25,153.82,1.08,0.98,
SP_GB_INDEX,2021-06-28,153.84,1.07,0.96,
SP_GB_INDEX,2021-06-29,153.6,1.07,0.97,
SP_GB_INDEX,2021-06-30,153.5,1.05,0.95,
SP_GB_INDEX,2021-07-01,153.52,1.08,0.97,
SP_GB_INDEX,2021-07-02,153.61,1.06,0.95,
SP_GB_INDEX,2021-07-05,153.68,1.06,0.96,
SP_GB_INDEX,2021-07-06,153.85,1.04,0.94,
SP_GB_INDEX,2021-07-07,153.87,1.02,0.92,
SP_GB_INDEX,2021-07-08,154.39,1.01,0.9,
SP_GB_INDEX,2021-07-09,154.22,1.03,0.92,
SP_GB_INDEX,2021-07-12,154.37,1.02,0.92,
SP_GB_INDEX,2021-07-13,153.96,1.03,0.92,
SP_GB_INDEX,2021-07-14,154.1,1.02,0.91,
SP_GB_INDEX,2021-07-15,154.21,1.01,0.9,
SP_GB_INDEX,2021-07-16,154.21,1.0,0.89,
SP_GB_INDEX,2021-07-19,154.43,0.98,0.87,
SP_GB_INDEX,2021-07-20,154.21,0.97,0.86,
SP_GB_INDEX,2021-07-21,154.22,0.98,0.88,
SP_GB_INDEX,2021-07-22,154.58,0.97,0.86,
SP_GB_INDEX,2021-07-23,154.29,0.97,0.86,
SP_GB_INDEX,2021-07-26,154.7,0.97,0.86,
SP_GB_INDEX,2021-07-27,154.95,0.96,0.85,
SP_GB_INDEX,2021-07-28,154.74,0.97,0.86,
SP_GB_INDEX,2021-07-29,155.55,0.97,0.86,
SP_GB_INDEX,2021-07-30,155.39,0.96,0.85,
SP_GB_INDEX,2021-08-02,155.87,0.95,0.84,
SP_GB_INDEX,2021-08-03,155.75,0.94,0.83,
SP_GB_INDEX,2021-08-04,155.67,0.95,0.84,
SP_GB_INDEX,2021-08-05,155.76,0.94,0.83,
SP_GB_INDEX,2021-08-06,154.6,0.97,0.86,
SP_GB_INDEX,2021-08-09,154.42,0.97,0.86,
SP_GB_INDEX,2021-08-10,154.25,0.98,0.87,
SP_GB_INDEX,2021-08-11,154.39,0.98,0.87,
SP_GB_INDEX,2021-08-12,154.32,0.98,0.87,
SP_GB_INDEX,2021-08-13,154.96,0.97,0.86,
SP_GB_INDEX,2021-08-16,155.03,0.96,0.85,
SP_GB_INDEX,2021-08-17,154.31,0.96,0.85,
SP_GB_INDEX,2021-08-18,154.33,0.96,0.85,
